FREQ;GEO;UNIT;LMP_TYPE;EXPTYPE\TIME_PERIOD,1997 ,1998 ,1999 ,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 
A;DK;MIO_EUR;TOT8_9;XTOT,: ,4556.265 e,4188.743 e,4134.160 e,4073.053 e,4267.417 e,5017.021 e,5244.157 e,4855.605 e,4069.419 e,3403.068 e,2833.329 e,3847.170 e,4203.443 e,3956.675 e,4174.470 e,4203.355 e,3710.307 e,3472.616 e,3175.563 e,3192.832 e,2948.103 e
A;EE;MIO_EUR;8;XTOT,: ,: ,: ,: ,: ,: ,16.436 ,16.555 ,13.263 ,10.699 ,15.708 ,34.486 ,191.118 ,124.510 ,79.785 ,76.516 ,82.681 ,76.946 ,86.855 ,95.570 ,90.175 ,103.806 
A;EE;MIO_EUR;9;XTOT,: ,: ,: ,: ,: ,: ,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z
A;EE;MIO_EUR;TOT8_9;XTOT,: ,: ,: ,: ,: ,: ,16.436 ,16.555 ,13.263 ,10.699 ,15.708 ,34.486 ,191.118 ,124.510 ,79.785 ,76.516 ,82.681 ,76.946 ,86.855 ,95.570 ,90.175 ,103.806 
A;EL;MIO_EUR;8;XTOT,: ,: ,525.738 ,542.630 ,519.880 ,519.880 e,632.468 ,749.430 ,793.927 ,804.962 ,758.987 ,1103.953 ,1615.085 ,1613.469 e,1872.983 ,1485.731 ,1080.004 ,792.619 ,771.781 ,841.234 ,842.887 ,921.208 
A;EL;MIO_EUR;9;XTOT,: ,: z,: z,0.110 ,0.117 ,0.137 ,0.166 ,0.179 ,0.186 ,0.227 ,0.184 ,0.156 ,0.146 ,0.146 e,108.991 ,95.671 ,85.794 ,81.312 ,73.626 ,66.232 ,52.765 ,36.584 
A;EL;MIO_EUR;TOT8_9;XTOT,: ,: ,525.738 ,542.740 ,519.997 ,520.017 e,632.634 ,749.608 ,794.113 ,805.189 ,759.171 ,1104.109 ,1615.231 ,1613.614 e,1981.974 ,1581.401 ,1165.798 ,873.931 ,845.407 ,907.466 ,895.652 ,957.792 
A;ES;MIO_EUR;8;XTOT,: ,8548.682 ,8209.044 ,8351.614 ,9184.660 ,10579.431 ,11200.955 ,12314.144 ,12887.152 ,13674.068 ,14754.040 ,19817.870 ,30784.358 ,32568.524 ,30510.464 ,32079.737 ,30462.657 ,26078.600 ,21123.037 ,19023.315 ,17410.636 ,17218.300 
A;ES;MIO_EUR;9;XTOT,: ,186.102 e,167.863 e,174.171 e,179.569 e,205.474 e,259.081 e,309.440 e,408.745 e,531.327 e,611.636 e,716.786 e,597.872 ,434.330 ,441.411 ,425.563 ,248.283 ,276.858 ,264.148 ,263.371 ,254.803 ,267.704 
A;ES;MIO_EUR;TOT8_9;XTOT,: ,8734.784 ,8376.907 ,8525.785 ,9364.229 ,10784.905 ,11460.036 ,12623.584 ,13295.897 ,14205.395 ,15365.677 ,20534.656 ,31382.230 ,33002.853 ,30951.875 ,32505.300 ,30710.940 ,26355.458 ,21387.185 ,19286.686 ,17665.438 ,17486.004 
A;EU15;MIO_EUR;8;XTOT,: ,112142.761 e,108671.458 e,102734.422 e,105416.007 e,118662.565 e,130614.463 e,138007.955 e,134262.298 e,125248.866 e,110998.469 e,113480.911 e,160135.093 e,164648.743 e,154067.158 e,: ,: ,: ,: ,: ,: ,: 
A;EU15;MIO_EUR;9;XTOT,: ,8524.214 ,8484.025 e,9309.362 e,9746.882 e,9046.928 e,8956.695 e,8922.960 e,8561.948 ,8356.227 ,8514.088 ,8226.554 ,7672.253 ,7145.550 ,6734.396 ,: ,: ,: ,: ,: ,: ,: 
A;EU15;MIO_EUR;TOT8_9;XTOT,: ,120666.974 e,117155.483 e,112043.784 e,115162.889 e,127709.493 e,139571.158 e,146930.915 e,142824.247 e,133605.093 e,119512.557 e,121707.466 e,167807.346 e,171794.293 e,160801.555 e,: ,: ,: ,: ,: ,: ,: 
A;EU28;MIO_EUR;8;XTOT,: ,: ,: ,: ,: ,: ,: ,: ,136207.885 e,127229.299 e,112890.355 e,115400.629 e,163702.934 e,168483.297 e,157506.450 e,: ,: ,: ,: ,: ,: ,: 
A;EU28;MIO_EUR;9;XTOT,: ,: ,: ,: ,: ,: ,: ,: ,9958.071 ,9688.263 e,9672.695 e,9182.671 ,8299.834 e,7784.926 ,7296.552 ,: ,: ,: ,: ,: ,: ,: 
A;EU28;MIO_EUR;TOT8_9;XTOT,: ,: ,: ,: ,: ,: ,: ,: ,146165.956 e,136917.562 e,122563.049 e,124583.300 e,172002.768 e,176268.224 e,164803.002 e,: ,: ,: ,: ,: ,: ,: 
A;FI;MIO_EUR;8;XTOT,2920.225 ,2481.580 ,2290.948 ,2133.312 ,2060.239 ,2168.885 ,2265.814 ,2372.583 ,2303.976 ,2148.036 ,1884.158 ,1771.651 ,2545.684 ,2652.798 ,2471.909 ,2663.561 ,3252.008 ,3727.601 ,4052.833 ,3957.108 ,3542.892 ,2974.143 
A;FI;MIO_EUR;9;XTOT,456.311 ,501.311 ,566.625 ,621.034 ,680.800 ,742.100 ,736.917 ,724.012 ,687.506 ,672.725 ,679.174 ,722.967 ,695.752 ,546.608 ,311.695 ,133.924 ,20.101 ,6.931 ,: z,: z,: z,: z
A;FI;MIO_EUR;TOT8_9;XTOT,3376.536 ,2982.892 ,2857.573 ,2754.346 ,2741.039 ,2910.985 ,3002.731 ,3096.596 ,2991.483 ,2820.761 ,2563.332 ,2494.619 ,3241.435 ,3199.406 ,2783.603 ,2797.485 ,3272.109 ,3734.532 ,4052.833 ,3957.108 ,3542.892 ,2974.143 
A;FR;MIO_EUR;8;XTOT,: ,22357.840 ,23142.689 ,22503.831 ,24092.792 ,28754.464 ,33054.482 ,34636.236 ,34395.359 ,32251.802 ,30335.537 ,30045.319 ,36313.445 ,38543.369 ,38287.100 ,40815.169 ,43383.898 ,44685.697 ,44929.612 ,45376.329 ,44853.664 ,44897.835 
A;FR;MIO_EUR;9;XTOT,: ,3328.242 ,3235.262 ,2718.319 ,2888.087 ,2128.178 ,1661.627 ,1458.129 ,1129.161 ,951.660 ,899.347 ,526.424 ,345.331 ,229.442 ,152.738 ,125.056 ,80.273 ,47.021 ,27.182 ,13.204 ,5.440 ,1.882 
A;FR;MIO_EUR;TOT8_9;XTOT,: ,25686.081 ,26377.951 ,25222.150 ,26980.879 ,30882.643 ,34716.109 ,36094.365 ,35524.519 ,33203.462 ,31234.884 ,30571.743 ,36658.776 ,38772.812 ,38439.839 ,40940.226 ,43464.171 ,44732.718 ,44956.794 ,45389.532 ,44859.104 ,44899.717 
A;HR;MIO_EUR;8;XTOT,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,189.012 ,195.904 ,168.097 ,146.508 ,129.500 ,118.478 ,118.357 
A;HR;MIO_EUR;9;XTOT,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: z,: z,: z,: z,: z,: z,: z
A;HR;MIO_EUR;TOT8_9;XTOT,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,189.012 ,195.904 ,168.097 ,146.508 ,129.500 ,118.478 ,118.357 
A;HU;MIO_EUR;8;XTOT,: ,: ,: ,: ,: ,: ,259.974 ,301.334 ,339.686 ,314.505 ,359.390 ,389.934 ,630.181 e,697.843 e,661.198 e,407.894 e,342.176 e,273.692 e,270.195 e,269.707 e,269.082 e,277.427 e
A;HU;MIO_EUR;9;XTOT,: ,: ,: ,: ,: ,: ,6.983 ,6.533 ,6.821 ,6.402 ,0.007 e,0.003 e,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z
A;HU;MIO_EUR;TOT8_9;XTOT,: ,: ,: ,: ,: ,: ,266.957 ,307.867 ,346.507 ,320.907 ,359.397 ,389.937 ,630.181 e,697.843 e,661.198 e,407.894 e,342.176 e,273.692 e,270.195 e,269.707 e,269.082 e,277.427 e
